# identity	kind - unit | technology | building | animal | unknown
# Regenerate with: python -m tools.classify_queue_icons
# Hand-verified rows are preserved; unknown is honest, not lazy.
paladin_upgrade	technology
palintonon_emplacements	technology
palisade_wall	building
paragon	technology
parthian_tactics	technology
pastoralism	technology
petard	unit
pig	animal
pikeman	unit
pikeman_upgrade	technology
plate_barding_armor	technology
plate_mail_armor	technology
pontoon_bridge	technology
purification	technology
quell_riot_with_gold	technology
raider	unit
ratha	unit
rattan_archer	unit
recurve_bowman	technology
redemption	technology
redeploy_troops	technology
reduce_bonus_damage	technology
reduce_gold_cost	technology
reduce_wood_cost	technology
repair_acropolis	technology
requisition	technology
ring_archer_armor	technology
rocket_cart	unit
sacrificial_dedication	technology
sanctity	technology
sapper	technology
sapper_tunnel	technology
sappers	technology
savar	unit
scale_barding_armor	technology
scale_mail_armor	technology
scorpion	unit
scout_cavalry	unit
set_sail	technology
sheep	animal
shipwright	technology
shock_cavalry	unit
side_with_oligarchs	technology
siege_elephant	unit
siege_engineers	technology
siege_onager	unit
siege_onager_upgrade	technology
siege_ram	unit
siege_ram_research	technology
siege_ram_upgrade	technology
siege_workshop	building
siegetower	unit
siphons	technology
skeuophoroi	unit
skirmisher	unit
slinger	unit
spearman	unit
spies	technology
spies-treason	technology
squires	technology
stable	building
stable_district_1	technology
stable_district_2	technology
stable_district_3	technology
start_battle	technology
start_colonization	technology
start_raid	technology
steppelancer	unit
stone_mining	technology
stone_shaft_mining	technology
stone_wall	building
supplies	technology
swordman	unit
syncretism	technology
target_practice	technology
telamon	technology
temple_district_1	technology
temple_district_2	technology
temple_district_3	technology
temple_guard	unit
theatre_district	technology
theocracy	technology
throwing_axeman	unit
thumb_ring	technology
town_center	building
town_patrol	technology
town_watch	technology
tracking	technology
traction_trebuchet	unit
trade_cart	unit
trade_cog	unit
train_artisan	technology
transhumance	technology
transport_ship	unit
treadmill_crane	technology
trebuchet	unit
trebuchet_packed	unit
tribute_for_oracle	technology
trireme	unit
two-handed_swordsman	unit
two-man_saw	technology
two_handed_swordsman	unit
two_handed_swordsman_upg	technology
two_man_saw	technology
tyranny	technology
unique_tech_castle	technology
unique_tech_classical_age_v1	technology
unique_tech_classical_age_v2	technology
unique_tech_imperial	technology
unique_tech_imperial_age_v1	technology
unique_tech_imperial_age_v2	technology
university	building
unlock_arrow_ship	technology
unlock_catapult_ship	technology
unlock_incendiary_raft	technology
unlock_lembos	technology
unlock_leviathan	technology
unlock_ramming_ship	technology
upgrade_armor	technology
upgrade_arrow_ship	technology
upgrade_catapult_ship	technology
upgrade_fishing_ship_1	technology
upgrade_fishing_ship_2	technology
upgrade_incendiary_raft	technology
upgrade_lembos	technology
upgrade_leviathan	technology
upgrade_ramming_ship	technology
villager	unit
villager_female	unit
villager_male	unit
war_galley	unit
war_galley_upgrade	technology
war_hulk	unit
war_lembos	unit
war_wagon	unit
watch_tower	building
western_fortification_1	technology
western_fortification_2	technology
western_fortification_3	technology
wheelbarrow	technology
winged_hussar	unit
winged_hussar_upgra	technology
wonder	building
wounded_lancers	technology
wounded_phalangites	technology
xyston	unit
